                 Franklin Industries
                   Employee Listing 
                     By Department  

	Department 	 	 Employee Name

	Accounting	 	 Addams, Frank
	 	 	 	 Harris, Jon
	 	 	 	 Harris, Ken
	 	 	 	 Peterson, Kelly
	 	 	 	 Reed, Paul

	Administration	 	 Elder, Betty
	 	 	 	 Johnson, Sandy
	 	 	 	 Kramer, Jean
	 	 	 	 Kramer, Tom

	Advertising	 	 Armstrong, Debbie
	 	 	 	 Armstrong, Diane
	 	 	 	 Bunker, Steven
	 	 	 	 Ralston, Linda
	 	 	 	 Wilson, James
	 	 	 	 Wilson, Paula

	Marketing	 	 Davidson, Bob
	 	 	 	 Davidson, Janet
	 	 	 	 Jones, Robert
	 	 	 	 Marshall, Mark
	 	 	 	 Marshall, Mary
	 	 	 	 Morris, Chad
	 	 	 	 Thomas, Sam
	 	 	 	 Watson, Wilma

	Shipping	 	 Hill, George
	 	 	 	 Hill, Greg
	 	 	 	 Morton, Bonnie
	 	 	 	 Morton, Henry
	 	 	 	 Sampson, Eric
	 	 	 	 Sampson, Karen
	 	 	 	 Smith, Jim


	 	 	 	 Program by: Xavier Fox

